location,lat,lon
"Aparcamiento Castillitos, 30868 Cartagena, Murcia, España",37.5543,-1.1697
"Cuartel de Artillería - Pabellones de producción creativa, C. Cartagena, s/n, 30002 Murcia, España",37.987,-1.13
"Bar de las Artes - El Argentino, Calle Joaquín Báguena, 10, 30003 Murcia, España",37.98704,-1.13004
"El Pilón de la Negra, C. de Vicente Baeza, 2, 30006 Murcia, España",37.98704,-1.13004
"Hotel El Churra, Murcia",38.0234,-1.13292
"CAPYBARA GASTRO BAR, P.º de Valdelasfuentes, 10, 28100 Alcobendas, Madrid, España",40.5475,-3.642
"Loft del Pintor, Cádiz",36.52978,-6.29465
"OcasionPlus Alcobendas, Av. de la Industria, 14, 28108 Alcobendas, Madrid, España",40.5475,-3.642
"Flexicar Alcobendas | Concesionario de coches de segunda mano, Blvr. de Salvador Allende, 5, 28100 Alcobendas, Madrid, España",40.5475,-3.642
"Ochenta Grados Castellana, Paseo de la Castellana, 128, Madrid, MD, ES, 28046",,
"Clínica Valdelasfuentes, C. del Marqués de la Valdavia, 107, 28100 Alcobendas, Madrid, España",40.5475,-3.642
Sevilla SVQ,37.4177027,-5.8949287
Madrid MAD,40.4952269,-3.5733733
"C. Consuelo, 4, 37001 Salamanca, España",40.9639646,-5.6623402
"La Pepita Burger Bar - Salamanca, Plaza Ángel, 2, Salamanca, CL, ES, 37001",40.9640417,-5.6628904
"Gran Hotel Corona Sol
Avenida Villamayor, 31 37007 Salamanca España",40.9688,-5.6639
"Centro Medico Averroes, C. Salvador Dalí, 15, 28222 Majadahonda, Madrid, España",40.4735,-3.8718
"C. del Marqués de la Valdavia, 107, 28100 Alcobendas, Madrid, España",40.5467945,-3.6537861
"Aránzazu, C/ de Francisco Silvela, 96, 28002 Madrid, España",40.4165,-3.7026
"Buitrago del Lozoya, 28730 Buitrago del Lozoya, Madrid, España",40.9762334,-3.6377973
"La Que Se Lía, Calle de María de Molina, 37, 28006 Madrid, España",40.4376823,-3.6809517
"C. de San Vicente Ferrer, 22, 28004 Madrid, España",40.4257757,-3.7039926
"Santita, Calle de Fuencarral, 74, 28004 Madrid, España",40.4165,-3.7026
"Areia, C. de Hortaleza, 92, 28004 Madrid, España",40.4245196,-3.6980205
"Real Jardín Botánico, Plaza de Murillo, 2, 28014 Madrid, España",40.4123656,-3.6921452
"El Gran Escape, C. del Amparo, 32, 28012 Madrid, España",40.4165,-3.7026
"C. Lanzarote, 15, 28703 San Sebastián de los Reyes, Madrid",40.5591408,-3.6195375
"The Irish Rover, Av. de Brasil, 7, 28020 Madrid, España",40.4165,-3.7026
"C. de Hortaleza, 65, 28004 Madrid, España",40.4246747,-3.6981703
"Centro Médico Boadilla, Av. Nuevo Mundo, 14, 28660 Boadilla del Monte, Madrid, España",40.405,-3.8783
"C/ Paz, nº 6 locales 5, 6 y 7 C.P 18002",,
"Paseo del Padre Manjón (Paseo de los Tristes), junto a la estatua de Mario Maya.",,
"C/ Santa Ana, 16. Granada",37.1776254,-3.593967
"Parque de las Ciencias, Av. de la Ciencia, s/n, 18006 Granada, España",37.1627013,-3.6057578
"Plaza de las Pasiegas, Pl. de las Pasiegas, 18001 Granada, España",37.1882,-3.6067
"Hotel Universal, Granada",37.1726221,-3.6014999
"Calle Juana Francés 2, Nave 18, Rivas Vaciamadrid. Madrid 28522",40.2774,-3.2775
"Estudio Zenit (Zenit The Studio), Calle de Cartagena, 126, 28002 Madrid, España",40.4165,-3.7026
"Calle de Recoletos, 10, Madrid",40.4218719,-3.6902522
"Ayuntamiento de Alcobendas, Plaza Mayor, nº 1, 28100 Alcobendas, Madrid, España",40.5473002,-3.6411662
"Zouk Hotel | Hotel Para Parejas en Madrid, Alcalá de Henares",40.48205,-3.35996
"Calle de Fortuny, 34, 28010 Madrid, España",40.4345759,-3.6899696
"Centro comercial Alcalá Norte, Calle de Alcalá, 414, 28027 Madrid, España",40.4368966,-3.6380768
"Calle de la Amistad, 2, 28100 Alcobendas, Madrid, España",40.5475,-3.642
"AVDA MADRID,  0 - 28850 TORREJON DE ARDOZ",40.4641057,-3.4740728
"Aviso especial:, Málaga",,
"AVDA DE ESPAÑA,  50 - 28100 ALCOBENDAS",40.5441981,-3.6437163
"Plaza la Lota, nº 8, 21400 Ayamonte",37.2099,-7.4027
"IFEMA - Feria de Madrid, Av. del Partenón, Nº 5, 28042 Madrid, España",40.42526,-3.69063
"WiZink Center, Av. Felipe II, s/n, Madrid, Madrid, España, 28009",40.4165,-3.7026
"Calle Gran Vía, 1, 28013 Madrid",40.4737484,-3.8720208
Lanzarote ACE,28.9456805,-13.6075882
"Calle Ávila, 19, 28937 Móstoles, Madrid, España",40.3253109,-3.8592814
"Paseo de la Castellana 135, planta 17, Madrid ",40.42526,-3.69063
"Treetops, Calle Veneros, 28221 Majadahonda, Madrid, España",40.4735,-3.8718
"Calle Valgrande, 1. Centro Comercial Monte del Pilar, 28221 Majadahonda",40.4735,-3.8718
"Calle Garcia Noblejas, 3 28660 Boadilla del Monte, Madrid",40.4041785,-3.8762255
"Quinta de los Molinos, Calle de Alcalá, 527, 28027 Madrid, España",40.4165,-3.7026
"Av. del Chaparral, 11, 28701 San Sebastián de los Reyes",40.5513578,-3.630619
"Elite Gaming Center Madrid, Calle del Príncipe de Vergara, 90, 28006 Madrid, España",40.42526,-3.69063
"Calle de Cronos, 63, Piso 1, Oficina 6, 28037 Madrid",40.4165,-3.7026
"Calle Cueva de la Mora, 7, 28670 Villaviciosa de Odón, Madrid, España",40.3565951,-3.907834
"Hotel Weare Chamartin, Madrid",40.4724161,-3.6832469
"Hotel Conde Duque Bilbao, Bilbo",43.26271,-2.92528
"Hotel San Glorio, Santander",43.4556159,-3.8143945
"C/ Fuencarral, 116, 28010 Madrid",40.4297047,-3.7024654
"Rocío Jurado Concert Hall, Camino de los Descubrimientos, s/n, 41092 Sevilla, España",37.3824,-5.9761
"Calle de la Maliciosa, 1, 28108 Alcobendas, Madrid, España",40.5356864,-3.6625593
"Hotel La Bastida, Toledo",,
"Calle de los Tres Peces, 20, 28012 Madrid",40.4107356,-3.699563
Berlín TXL,52.5553496,13.2968961
"Hotel Puerta America Madrid, Madrid",40.4407482,-3.6701964
"C/ Retama, 7 Planta 6 – Madrid",40.42526,-3.69063
Valencia VLC,,
"Teatro Cofidis Alcázar, Calle de Alcalá, 20, 28014 Madrid, España",40.4176218,-3.6989693
"El Doblón, Calle de Juan Bravo, 35, 28006 Madrid, España",40.4165,-3.7026
"ContraClub, Calle de Bailén, 16, 28005 Madrid, España",40.4126029,-3.7139466
"Calle de los Sueños, 6, 28100 Alcobendas, Madrid, España",40.5475,-3.642
"Calle de El Escorial, 111, 28100 Alcobendas, Madrid, España",40.5475,-3.642
"Calle de Cuesta Blanca, 114, 28108 Alcobendas, Madrid, España",40.5475,-3.642
"Calle de Barbieri, 4, 28004 Madrid",40.4207264,-3.698229
"Calle de Anabel Segura, 3, 28108 Alcobendas, Madrid, España",40.532148,-3.6278842
"v. del General Perón, 36 - 2° 28020,Madrid",40.4165,-3.7026
"10, Cádiz",36.3438928,-5.808609
"Hostal Falfes, Madrid",40.4535733,-3.7016151
"Estadio La Cartuja, Isla de la Cartuja, sector norte, Sevilla, Sevilla, España, 41092",37.3824,-5.9761
"Duquesa Bed and Breakfast, Granada",37.18817,-3.60667
"Circuito de Jerez, Carretera de Arcos-Jerez de la Frontera, Km 10, 11405 Jerez de la Frontera, 
Cádiz, España, Jerez de la Frontera, Cádiz, España, 11405",36.68645,-6.13606
"AB Pension Granada, Granada",37.18817,-3.60667
"A&O München Hackerbrücke, München",,
"Explanada Auditorio Riberas del Guadaíra, Camino Pelay Correa, s/n, 41500 Alcalá de Guadaíra, Sevilla, España, Alcalá de Guadaíra, Andalucía, España, 41500",37.3379,-5.8395
"Centro Andaluz de Arte Contemporáneo (CAAC), Isla de la Cartuja, 41092 Sevilla, España, Sevilla, Andalucía, Spain",37.3824,-5.9761
"Calle Beatriz de Suabia, 92, 41005 Sevilla, España",37.380345,-5.9673342
"edificio 24, aula 1.11",,
"Palacio de la Pena, Estrada da Pena, 2710-609 Sintra, Portugal",39.0667,-9.013
"Regional Sintra, Tv. do Município 2, 2710-592 Sintra, Portugal",38.7991635,-9.3879625
"Castelo dos Mouros, 2710-405 Sintra, Portugal",38.7924119,-9.388669
"Pastelaria Pasteles de Belem, R. de Belém 84 92, 1300-085 Lisboa, Portugal",38.69875,-9.19289
"Monasterio de los Jerónimos de Belém, Praça do Império 1400-206 Lisboa, 1400-206 Lisboa, Portugal",38.6977531,-9.2055912
"Restaurante Adega de Belém, R. de Belém 40, 1300-085 Lisboa, Portugal",38.7167,-9.1333
"R. Venceslau de Morais 10, 2820 Charneca de Caparica, Portugal",38.6113963,-9.2033042
"Park Rooftop, Calçada do Combro 58, 1200-123 Lisboa, Portugal",38.7111966,-9.1476098
"Elevador de Santa Justa, R. de Santa Justa, 1150-060 Lisboa, Portugal",38.7121169,-9.1393753
"Arco de la Rua Augusta, R. Augusta 2, 1100-053 Lisboa, Portugal",38.7167,-9.1333
"Arriondas, Parres, Asturias, España",43.3875182,-5.1882653
